day	HS	SSL	CSL	KW
315	1	0.961904762	0.379204893	0.15
316	1	0.961904762	0.379204893	0.15
317	1	0.961904762	0.379204893	0.15
318	1	0.961904762	0.379204893	0.15
319	1	0.961904762	0.379204893	0.15
320	1	0.961904762	0.379204893	0.15
321	1	0.961904762	0.379204893	0.15
322	1	0.961904762	0.379204893	0.15
323	1	0.961904762	0.379204893	0.15
324	1	0.961904762	0.379204893	0.15
325	1	0.961904762	0.379204893	0.15
326	1	0.961904762	0.379204893	0.15
327	1	0.961904762	0.379204893	0.15
328	1	0.961904762	0.379204893	0.15
329	1	0.961904762	0.379204893	0.15
330	1	0.961904762	0.379204893	0.15
331	1	0.961904762	0.379204893	0.15
332	1	0.961904762	0.379204893	0.15
333	1	0.961904762	0.379204893	0.15
334	1	0.961904762	0.379204893	0.15
335	1	0.961904762	0.379204893	0.15
336	1	0.961904762	0.379204893	0
337	1	0.961904762	0.379204893	0
338	1	0.961904762	0.379204893	0
339	1	0.961904762	0.379204893	0
340	1	0.961904762	0.379204893	0
341	1	0.961904762	0.379204893	0
342	1	0.961904762	0.379204893	0
343	1	0.961904762	0.379204893	0
344	1	0.961904762	0.379204893	0
345	1	0.961904762	0.379204893	0
346	1	0.961904762	0.379204893	0
347	1	0.961904762	0.379204893	0
348	1	0.961904762	0.379204893	0
349	1	0.961904762	0.379204893	0
350	1	0.961904762	0.379204893	0
351	1	0.961904762	0.379204893	0
352	1	0.961904762	0.379204893	0
353	1	0.961904762	0.379204893	0
354	1	0.961904762	0.379204893	0
355	1	0.961904762	0.379204893	0
356	1	0.961904762	0.379204893	0
357	1	0.961904762	0.379204893	0
358	1	0.961904762	0.379204893	0
359	1	0.961904762	0.379204893	0
360	1	0.961904762	0.379204893	0
361	1	0.961904762	0.379204893	0
362	1	0.961904762	0.379204893	0
363	1	0.961904762	0.379204893	0
364	1	0.961904762	0.379204893	0
365	1	0.961904762	0.379204893	0
